keys,en
GazeTutorial,"In {0} seconds, look at the reticle while moving your head as shown in the video"
GazeTutorialShort,"In {0} seconds, look at the reticle while moving your head around"
BlinkTutorial,"In {0} seconds, close your eyes and keep them closed until the finishing tone plays"
BlinkRoutine,Keep your eyes closed! {0} seconds left
DilationTutorial,"In {0} seconds, look around"
WidenTutorial,"In {0} seconds, open your eyes wide and look around"
WidenRoutine,Keep your eyes wide open for {0} more seconds
ConvergenceTutorial,"In {0} seconds, look at the reticle while it moves back and forth"
Connecting,Connecting to Baballonia…
SquintTutorial,"In {0} seconds, squint your eyes (half closed) while looking around"
SquintRoutine,Keep your eyes half closed/squinting for {0} more seconds
BrowTutorial,"In {0} seconds, move your eyebrows as if you were making an angry face, looking around"
BrowRoutine,Keep looking around with angry eyebrows for {0} more seconds
SlowDown,Slow down! Too fast!
,
